START_DATE*,END_DATE*,CATEGORY*,START*,STOP*,MILES*,PURPOSE*
01-01-2016 21:11,01-01-2016 21:17,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain
02-01-2016 21:11,02-01-2016 21:17,Business,Fort Pierce,Fort Pierce,5,
03-01-2016 21:11,03-01-2016 21:17,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies
04-01-2016 21:11,04-01-2016 21:17,Business,Fort Pierce,Fort Pierce,4.7,Meeting
05-01-2016 21:11,05-01-2016 21:17,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit
06-01-2016 21:11,06-01-2016 21:17,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain
07-01-2016 21:11,07-01-2016 21:17,Business,West Palm Beach,Palm Beach,7.1,Meeting
08-01-2016 21:11,08-01-2016 21:17,Business,Cary,Cary,0.8,Meeting
09-01-2016 21:11,09-01-2016 21:17,Business,Cary,Morrisville,8.3,Meeting
10-01-2016 21:11,10-01-2016 21:17,Business,Jamaica,New York,16.5,Customer Visit
11-01-2016 21:11,11-01-2016 21:17,Business,New York,Queens,10.8,Meeting
12-01-2016 21:11,12-01-2016 21:17,Business,Elmhurst,New York,7.5,Meeting
13-01-2016 21:11,13-01-2016 21:17,Business,Midtown,East Harlem,6.2,Meeting
14-01-2016 21:11,14-01-2016 21:17,Business,East Harlem,NoMad,6.4,Temporary Site
15-01-2016 21:11,15-01-2016 21:17,Business,Flatiron District,Midtown,1.6,Errand/Supplies
16-01-2016 21:11,16-01-2016 21:17,Business,Midtown,Midtown East,1.7,Meal/Entertain
17-01-2016 21:11,17-01-2016 21:17,Business,Midtown East,Midtown,1.9,Meal/Entertain
18-01-2016 21:11,18-01-2016 21:17,Business,Midtown,Hudson Square,1.9,Meal/Entertain
19-01-2016 21:11,19-01-2016 21:17,Business,Hudson Square,Lower Manhattan,4,Meal/Entertain
20-01-2016 21:11,20-01-2016 21:17,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies
21-01-2016 21:11,21-01-2016 21:17,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit
22-01-2016 21:11,22-01-2016 21:17,Business,Hell's Kitchen,Midtown,2,Errand/Supplies
23-01-2016 21:11,23-01-2016 21:17,Business,New York,Queens County,15.1,Meeting
24-01-2016 21:11,24-01-2016 21:17,Business,Downtown,Gulfton,11.2,Meeting
25-01-2016 21:11,25-01-2016 21:17,Business,Gulfton,Downtown,11.8,Meeting
26-01-2016 21:11,26-01-2016 21:17,Business,Houston,Houston,21.9,Customer Visit
27-01-2016 21:11,27-01-2016 21:17,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies
28-01-2016 21:11,28-01-2016 21:17,Business,Morrisville,Cary,8,Errand/Supplies
29-01-2016 21:11,29-01-2016 21:17,Business,Cary,Durham,10.4,Meal/Entertain
30-01-2016 21:11,30-01-2016 21:17,Business,Durham,Cary,10.4,Meal/Entertain
31-01-2016 21:11,31-01-2016 21:17,Business,Cary,Cary,4.8,Meal/Entertain
01-02-2016 21:11,01-02-2016 21:17,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain
02-02-2016 21:11,02-02-2016 21:17,Business,Whitebridge,Lake Wellingborough,7.2,
03-02-2016 21:11,03-02-2016 21:17,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site
04-02-2016 21:11,04-02-2016 21:17,Business,Cary,Raleigh,17.1,Meeting
05-02-2016 21:11,05-02-2016 21:17,Business,Fayetteville Street,Umstead,15.1,Meeting
06-02-2016 21:11,06-02-2016 21:17,Business,Raleigh,Cary,40.2,Customer Visit
07-02-2016 21:11,07-02-2016 21:17,Business,Cary,Cary,1.6,Errand/Supplies
08-02-2016 21:11,08-02-2016 21:17,Business,Cary,Cary,2.4,Meal/Entertain
09-02-2016 21:11,09-02-2016 21:17,Business,Cary,Cary,1,Meal/Entertain
10-02-2016 21:11,10-02-2016 21:17,Business,Whitebridge,Hazelwood,2,Meal/Entertain
11-02-2016 21:11,11-02-2016 21:17,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies
12-02-2016 21:11,12-02-2016 21:17,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies
13-02-2016 21:11,13-02-2016 21:17,Business,Cary,Cary,1.4,Errand/Supplies
14-02-2016 21:11,14-02-2016 21:17,Business,Cary,Cary,0.5,Errand/Supplies
15-02-2016 21:11,15-02-2016 21:17,Business,Cary,Cary,1.8,Meeting
16-02-2016 21:11,16-02-2016 21:17,Business,Cary,Raleigh,18.7,Customer Visit
17-02-2016 21:11,17-02-2016 21:17,Business,Fairmont,Meredith Townes,3.4,Customer Visit
18-02-2016 21:11,18-02-2016 21:17,Business,Raleigh,Raleigh,2.7,Customer Visit
19-02-2016 21:11,19-02-2016 21:17,Business,Raleigh,Cary,12.9,Customer Visit
20-02-2016 21:11,20-02-2016 21:17,Business,Cary,Raleigh,19,Temporary Site
21-02-2016 21:11,21-02-2016 21:17,Business,Meredith Townes,Leesville Hollow,14.7,Meeting
22-02-2016 21:11,22-02-2016 21:17,Business,Raleigh,Cary,15.7,Meeting
23-02-2016 21:11,23-02-2016 21:17,Business,Cary,Cary,4.6,Customer Visit
24-02-2016 21:11,24-02-2016 21:17,Business,Cary,Cary,5.2,Meeting
25-02-2016 21:11,25-02-2016 21:17,Business,Cary,Durham,10.4,Meeting
26-02-2016 21:11,26-02-2016 21:17,Business,Durham,Cary,10.1,Meeting
27-02-2016 21:11,27-02-2016 21:17,Business,Cary,Apex,5.8,Errand/Supplies
28-02-2016 21:11,28-02-2016 21:17,Business,Apex,Cary,5.5,Meal/Entertain
29-02-2016 21:11,29-02-2016 21:17,Business,Cary,Apex,5.7,Errand/Supplies
01-03-2016 21:11,01-03-2016 21:17,Business,Apex,Cary,5.7,Customer Visit
02-03-2016 21:11,02-03-2016 21:17,Business,Cary,Chapel Hill,19.4,Customer Visit
03-03-2016 21:11,03-03-2016 21:17,Business,Chapel Hill,Cary,23.3,Customer Visit
04-03-2016 21:11,04-03-2016 21:17,Business,Northwoods,Whitebridge,3.9,Meal/Entertain
05-03-2016 21:11,05-03-2016 21:17,Business,Whitebridge,Williamsburg Manor,8.3,Meeting
06-03-2016 21:11,06-03-2016 21:17,Business,Cary,Cary,6,Errand/Supplies
07-03-2016 21:11,07-03-2016 21:17,Business,Cary,Cary,1.6,Errand/Supplies
08-03-2016 21:11,08-03-2016 21:17,Business,Cary,Morrisville,5.2,Errand/Supplies
09-03-2016 21:11,09-03-2016 21:17,Business,Morrisville,Cary,9.7,Meal/Entertain
10-03-2016 21:11,10-03-2016 21:17,Business,Cary,Cary,1.6,Meal/Entertain
